Grant Number	Group	Modality	GEO accession	SRA accession	PRIDE accession	OMERO accession	Other database	Other database accession	DOI	PMID	Pub Year	Title	Abstract	MeSH Keywords	MeSH Extracted	PubMed Keywords	Authors	Author Affiliation	RCR	Total Citations	Journal Name	Journal Volume	Journal Issue	Journal Pages
U19MH106434	Group 3								10.1016/j.neuron.2017.10.010	29103808	2017	DISC1 Regulates Neurogenesis via Modulating Kinetochore Attachment of Ndel1/Nde1 during Mitosis.	Mutations of DISC1 (disrupted-in-schizophrenia 1) have been associated with major psychiatric disorders. Despite the hundreds of DISC1-binding proteins reported, almost nothing is known about how DISC1 interacts with other proteins structurally to impact human brain development. Here we solved the high-resolution structure of DISC1 C-terminal tail in complex with its binding domain of Ndel1. Mechanistically, DISC1 regulates Ndel1's kinetochore attachment, but not its centrosome localization, during mitosis. Functionally, disrupting DISC1/Ndel1 complex formation prolongs mitotic length and interferes with cell-cycle progression in human cells, and it causes cell-cycle deficits of radial glial cells in the embryonic mouse cortex and human forebrain organoids. We also observed similar deficits in organoids derived from schizophrenia patient induced pluripotent stem cells (iPSCs) with a DISC1 mutation that disrupts its interaction with Ndel1. Our study uncovers a new mechanism of action for DISC1 based on its structure, and it has implications for how genetic insults may contribute to psychiatric disorders.	Animals;Carrier Proteins;Cell Cycle;Female;HeLa Cells;Humans;Immunohistochemistry;Male;Mice;Mitosis;Models, Molecular;Nerve Tissue Proteins;Neural Stem Cells;Neurogenesis;Neurons;Pluripotent Stem Cells;Pregnancy;Protein Binding;Schizophrenia	Animals;Binding Proteins;Brain;Carrier Proteins;Cell Cycle;Cells;Centrosome;Female;Genetics;HeLa Cells;Humans;Immunohistochemistry;Induced Pluripotent Stem Cells;Kinetochores;Male;Mental Disorders;Mice;Mitosis;Models, Molecular;Mutation;Nerve Tissue Proteins;Neural Stem Cells;Neurogenesis;Neurons;News;Organoids;Patients;Pluripotent Stem Cells;Pregnancy;Prosencephalon;Proteins;Radial Glial Cells;Schizophrenia;Tail	DISC1;NDE1;NDEL1;cell cycle;complex structure;human forebrain organoid;kinetochore attachment;neurogenesis;psychiatric disorders	Ye, Fei;Kang, Eunchai;Yu, Chuan;Qian, Xuyu;Jacob, Fadi;Yu, Cong;Mao, Mao;Poon, Randy Y C;Kim, Jieun;Song, Hongjun;Ming, Guo-Li;Zhang, Mingjie	[Hong Kong University of Science and Technology];[Johns Hopkins School of Medicine, University of Pennsylvania];[Hong Kong University of Science and Technology];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine, University of Pennsylvania];[Hong Kong University of Science and Technology];[Hong Kong University of Science and Technology];[Hong Kong University of Science and Technology];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine, University of Pennsylvania];[Hong Kong University of Science and Technology]	3.06	66	Neuron	96	5	1041-1054.e5
U19MH106434	Group 3								10.1016/j.cell.2017.09.003	28965759	2017	Temporal Control of Mammalian Cortical Neurogenesis by m6A Methylation.	N6-methyladenosine (m6A), installed by the Mettl3/Mettl14 methyltransferase complex, is the most prevalent internal mRNA modification. Whether m6A regulates mammalian brain development is unknown. Here, we show that m6A depletion by Mettl14 knockout in embryonic mouse brains prolongs the cell cycle of radial glia cells and extends cortical neurogenesis into postnatal stages. m6A depletion by Mettl3 knockdown also leads to a prolonged cell cycle and maintenance of radial glia cells. m6A sequencing of embryonic mouse cortex reveals enrichment of mRNAs related to transcription factors, neurogenesis, the cell cycle, and neuronal differentiation, and m6A tagging promotes their decay. Further analysis uncovers previously unappreciated transcriptional prepatterning in cortical neural stem cells. m6A signaling also regulates human cortical neurogenesis in forebrain organoids. Comparison of m6A-mRNA landscapes between mouse and human cortical neurogenesis reveals enrichment of human-specific m6A tagging of transcripts related to brain-disorder risk genes. Our study identifies an epitranscriptomic mechanism in heightened transcriptional coordination during mammalian cortical neurogenesis.	Animals;Cell Cycle;Gene Expression Regulation;Gene Expression Regulation, Developmental;Gene Knockdown Techniques;Humans;Methylation;Methyltransferases;Mice;Mice, Knockout;Neural Stem Cells;Neurogenesis;Organoids;Prosencephalon;RNA Processing, Post-Transcriptional;RNA Stability;RNA, Messenger	Animals;Autistic Disorder;Brain;Brain Diseases;Cell Cycle;Cells;Gene Expression Regulation;Gene Expression Regulation, Developmental;Gene Knockdown Techniques;Genes;Humans;Lead;Maintenance;Methylation;Methyltransferases;Mice;Mice, Knockout;Neural Stem Cells;Neurogenesis;Organoids;Prosencephalon;RNA;RNA Processing, Post-Transcriptional;RNA Stability;RNA, Messenger;Radial Glial Cells;Risk;Schizophrenia;Transcription Factors	Mettl14;RNA methylation;autism;epitranscriptomics;human organoid;m(6)A;neurogenesis;radial glia cell;schizophrenia;transcriptional prepatterning	Yoon, Ki-Jun;Ringeling, Francisca Rojas;Vissers, Caroline;Jacob, Fadi;Pokrass, Michael;Jimenez-Cyrus, Dennisse;Su, Yijing;Kim, Nam-Shik;Zhu, Yunhua;Zheng, Lily;Kim, Sunghan;Wang, Xinyuan;Doré, Louis C;Jin, Peng;Regot, Sergi;Zhuang, Xiaoxi;Canzar, Stefan;He, Chuan;Ming, Guo-Li;Song, Hongjun	[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[University of Pennsylvania];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[University of Pennsylvania];[Howard Hughes Medical Institute, University of Chicago];[Emory University];[Johns Hopkins School of Medicine];[University of Chicago];[Ludwig Maximilians University of Munich];[Howard Hughes Medical Institute, University of Chicago];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine, University of Pennsylvania]	13.92	321	Cell	171	4	877-889.e17
U19MH106434	Group 3								10.1038/nn.4612	28758997	2017	Zika virus directly infects peripheral neurons and induces cell death.	Zika virus (ZIKV) infection is associated with neurological disorders of both the CNS and peripheral nervous systems (PNS), yet few studies have directly examined PNS infection. Here we show that intraperitoneally or intraventricularly injected ZIKV in the mouse can infect and impact peripheral neurons in vivo. Moreover, ZIKV productively infects stem-cell-derived human neural crest cells and peripheral neurons in vitro, leading to increased cell death, transcriptional dysregulation and cell-type-specific molecular pathology.	Animals;Cell Death;Cells, Cultured;Chlorocebus aethiops;Humans;Mice;Mice, 129 Strain;Mice, Inbred ICR;Neural Stem Cells;Peripheral Nervous System Diseases;Vero Cells;Zika Virus;Zika Virus Infection	Animals;Cell Death;Cells;Cells, Cultured;Chlorocebus aethiops;Humans;In Vitro;Infections;Mice;Mice, 129 Strain;Mice, Inbred ICR;Nervous System Diseases;Neural Crest Cells;Neural Stem Cells;Neurons;Pathology, Molecular;Peripheral Nervous System;Peripheral Nervous System Diseases;Stem Cells;Vero Cells;Zika Virus;Zika Virus Infection		Oh, Yohan;Zhang, Feiran;Wang, Yaqing;Lee, Emily M;Choi, In Young;Lim, Hotae;Mirakhori, Fahimeh;Li, Ronghua;Huang, Luoxiu;Xu, Tianlei;Wu, Hao;Li, Cui;Qin, Cheng-Feng;Wen, Zhexing;Wu, Qing-Feng;Tang, Hengli;Xu, Zhiheng;Jin, Peng;Song, Hongjun;Ming, Guo-Li;Lee, Gabsang	[Johns Hopkins School of Medicine, Medical Research Foundation];[Emory University School of Medicine];[Chinese Academy of Sciences];[Florida State University];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Emory University School of Medicine];[Emory University School of Medicine];[Emory University];[Emory University, Rollins School of Public Health];[Chinese Academy of Sciences];[Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity];[Emory University School of Medicine, Johns Hopkins School of Medicine];[Chinese Academy of Sciences];[Florida State University];[Beijing Institute of Technology, Chinese Academy of Sciences];[Emory University School of Medicine];[Johns Hopkins School of Medicine, Medical Research Foundation, University of Pennsylvania];[Johns Hopkins School of Medicine, Medical Research Foundation, University of Pennsylvania];[Johns Hopkins School of Medicine, Medical Research Foundation]	2.33	46	Nature neuroscience	20	9	1209-1212
U19MH106434	Group 3								10.1101/gad.298216.117	28566536	2017	How does Zika virus cause microcephaly?	The re-emergence of Zika virus (ZIKV), a mosquito-borne and sexually transmitted flavivirus circulating in &gt;70 countries and territories, poses a significant global threat to public health due to its ability to cause severe developmental defects in the human brain, such as microcephaly. Since the World Health Organization declared the ZIKV outbreak a Public Health Emergency of International Concern, remarkable progress has been made to gain insight into cellular targets, pathogenesis, and underlying biological mechanisms of ZIKV infection. Here we review the current knowledge and progress in understanding the impact of ZIKV exposure on the mammalian brain development and discuss potential underlying mechanisms.	Animals;Disease Outbreaks;Humans;Microcephaly;Zika Virus;Zika Virus Infection	Ability;Animals;Biopharmaceuticals;Brain;Comprehension;Culicidae;Disease Outbreaks;Emergencies;Flavivirus;Humans;Infections;Knowledge;Microcephaly;Public Health;Review;World Health Organization;Zika Virus;Zika Virus Infection	Zika virus;brain development;microcephaly	Wen, Zhexing;Song, Hongjun;Ming, Guo-Li	[Emory University School of Medicine];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine, University of Pennsylvania]	4.01	72	Genes & development	31	9	849-861
U19MH106434	Group 3								10.1242/dev.140707	28292840	2017	Using brain organoids to understand Zika virus-induced microcephaly.	Technologies to differentiate human pluripotent stem cells into three-dimensional organized structures that resemble in vivo organs are pushing the frontiers of human disease modeling and drug development. In response to the global health emergency posed by the Zika virus (ZIKV) outbreak, brain organoids engineered to mimic the developing human fetal brain have been employed to model ZIKV-induced microcephaly. Here, we discuss the advantages of brain organoids over other model systems to study development and highlight recent advances in understanding ZIKV pathophysiology and its underlying pathogenesis mechanisms. We further discuss perspectives on overcoming limitations of current organoid systems for their future use in ZIKV research.	Animals;Brain;Humans;Microcephaly;Organoids;Zika Virus;Zika Virus Infection	Animals;Brain;Comprehension;Disease;Disease Outbreaks;Drug Development;Emergencies;Future;Global Health;Humans;Microcephaly;Organoids;Pluripotent Stem Cells;Research;Technology;Zika Virus;Zika Virus Infection	Cortex;Microcephaly;Organoids;Zika;iPSC	Qian, Xuyu;Nguyen, Ha Nam;Jacob, Fadi;Song, Hongjun;Ming, Guo-Li	[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins Medicine, Johns Hopkins School of Medicine]	5.84	124	Development (Cambridge, England)	144	6	952-957
U19MH106434	Group 3								10.1016/j.stem.2017.07.014	28826723	2017	Zika-Virus-Encoded NS2A Disrupts Mammalian Cortical Neurogenesis by Degrading Adherens Junction Proteins.	Zika virus (ZIKV) directly infects neural progenitors and impairs their proliferation. How ZIKV interacts with the host molecular machinery to impact neurogenesis in vivo is not well understood. Here, by systematically introducing individual proteins encoded by ZIKV into the embryonic mouse cortex, we show that expression of ZIKV-NS2A, but not Dengue virus (DENV)-NS2A, leads to reduced proliferation and premature differentiation of radial glial cells and aberrant positioning of newborn neurons. Mechanistically, in vitro mapping of protein-interactomes and biochemical analysis suggest interactions between ZIKA-NS2A and multiple adherens junction complex (AJ) components. Functionally, ZIKV-NS2A, but not DENV-NS2A, destabilizes the AJ complex, resulting in impaired AJ formation and aberrant radial glial fiber scaffolding in the embryonic mouse cortex. Similarly, ZIKA-NS2A, but not DENV-NS2A, reduces radial glial cell proliferation and causes AJ deficits in human forebrain organoids. Together, our results reveal pathogenic mechanisms underlying ZIKV infection in the developing mammalian brain.	Adherens Junctions;Animals;Cell Differentiation;Cell Proliferation;Cerebral Cortex;HEK293 Cells;Humans;Mammals;Membrane Proteins;Mice;Neurogenesis;Neuroglia;Protein Binding;Protein Interaction Mapping;Proteolysis;Viral Nonstructural Proteins;Zika Virus;Zika Virus Infection	Adherens Junctions;Animals;Binding Proteins;Brain;Cell Differentiation;Cell Proliferation;Cerebral Cortex;Dengue Virus;Flavivirus;HEK293 Cells;Humans;In Vitro;Infant, Newborn;Infections;Lead;Mammals;Membrane Proteins;Mice;Microcephaly;Neural Stem Cells;Neurogenesis;Neuroglia;Neurons;Organoids;Prosencephalon;Protein Interaction Mapping;Protein Microarrays;Proteins;Proteolysis;Radial Glial Cells;Viral Nonstructural Proteins;Zika Virus;Zika Virus Infection	Zika virus;adherens junction;cortical neurogenesis;flavivirus;human organoid;human protein microarray;microcephaly;neural stem cell;neuronal migration;radial glial cell	Yoon, Ki-Jun;Song, Guang;Qian, Xuyu;Pan, Jianbo;Xu, Dan;Rho, Hee-Sool;Kim, Nam-Shik;Habela, Christa;Zheng, Lily;Jacob, Fadi;Zhang, Feiran;Lee, Emily M;Huang, Wei-Kai;Ringeling, Francisca Rojas;Vissers, Caroline;Li, Cui;Yuan, Ling;Kang, Koeun;Kim, Sunghan;Yeo, Junghoon;Cheng, Yichen;Liu, Sheng;Wen, Zhexing;Qin, Cheng-Feng;Wu, Qingfeng;Christian, Kimberly M;Tang, Hengli;Jin, Peng;Xu, Zhiheng;Qian, Jiang;Zhu, Heng;Song, Hongjun;Ming, Guo-Li	[Johns Hopkins School of Medicine];[Department of Pharmacology and Molecular Sciences, Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Chinese Academy of Sciences, Fuzhou University];[Department of Pharmacology and Molecular Sciences, Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Emory University School of Medicine];[Florida State University];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Chinese Academy of Sciences];[Chinese Academy of Sciences];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine];[Florida State University];[Johns Hopkins School of Medicine];[Emory University School of Medicine];[Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity];[Chinese Academy of Sciences];[University of Pennsylvania];[Florida State University];[Emory University School of Medicine];[Chinese Academy of Sciences];[Johns Hopkins School of Medicine];[Department of Pharmacology and Molecular Sciences, Johns Hopkins School of Medicine];[Johns Hopkins School of Medicine, University of Pennsylvania];[Johns Hopkins School of Medicine, Perelman School of Medicine, University of Pennsylvania]	5.15	104	Cell stem cell	21	3	349-358.e6
U19MH104172	Group 1								10.1073/pnas.1720273115	29866841	2018	Transdifferentiation of human adult peripheral blood T cells into neurons.	Human cell models for disease based on induced pluripotent stem (iPS) cells have proven to be powerful new assets for investigating disease mechanisms. New insights have been obtained studying single mutations using isogenic controls generated by gene targeting. Modeling complex, multigenetic traits using patient-derived iPS cells is much more challenging due to line-to-line variability and technical limitations of scaling to dozens or more patients. Induced neuronal (iN) cells reprogrammed directly from dermal fibroblasts or urinary epithelia could be obtained from many donors, but such donor cells are heterogeneous, show interindividual variability, and must be extensively expanded, which can introduce random mutations. Moreover, derivation of dermal fibroblasts requires invasive biopsies. Here we show that human adult peripheral blood mononuclear cells, as well as defined purified T lymphocytes, can be directly converted into fully functional iN cells, demonstrating that terminally differentiated human cells can be efficiently transdifferentiated into a distantly related lineage. T cell-derived iN cells, generated by nonintegrating gene delivery, showed stereotypical neuronal morphologies and expressed multiple pan-neuronal markers, fired action potentials, and were able to form functional synapses. These cells were stable in the absence of exogenous reprogramming factors. Small molecule addition and optimized culture systems have yielded conversion efficiencies of up to 6.2%, resulting in the generation of &gt;50,000 iN cells from 1 mL of peripheral blood in a single step without the need for initial expansion. Thus, our method allows the generation of sufficient neurons for experimental interrogation from a defined, homogeneous, and readily accessible donor cell population.	Adolescent;Adult;Aged;Cell Differentiation;Cell Transdifferentiation;Cellular Reprogramming;Female;Fibroblasts;Humans;Induced Pluripotent Stem Cells;Leukocytes, Mononuclear;Male;Middle Aged;Neurons;T-Lymphocytes;Young Adult	Action Potentials;Adolescent;Adult;Aged;Biopsy;Blood;Cell Differentiation;Cell Transdifferentiation;Cells;Cellular Reprogramming;Culture;Disease;Donors;Efficiency;Female;Fibroblasts;Form;Gene Targeting;Generations;Genes;Humans;Induced Pluripotent Stem Cells;Leukocytes, Mononuclear;Male;Methods;Microscopy, Electron, Scanning Transmission;Middle Aged;Mutation;Needs;Neurons;News;Patients;Peripheral Blood Mononuclear Cells;Population;Synapses;T-Lymphocytes;Young Adult	direct conversion;disease modeling;iN cells;induced neuronal cells;transdifferentiation	Tanabe, Koji;Ang, Cheen Euong;Chanda, Soham;Olmos, Victor Hipolito;Haag, Daniel;Levinson, Douglas F;Südhof, Thomas C;Wernig, Marius	[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University];[Howard Hughes Medical Institute, Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University];[Stanford University];[Howard Hughes Medical Institute, Stanford University];[Stanford Institute for Stem Cell Biology and Regenerative Medicine, Stanford University]	2.28	43	Proceedings of the National Academy of Sciences of the United States of America	115	25	6470-6475
U19MH104172	Group 1								10.1126/scitranslmed.aar4338	30068571	2018	The fragile X mutation impairs homeostatic plasticity in human neurons by blocking synaptic retinoic acid signaling.	Fragile X syndrome (FXS) is an X chromosome-linked disease leading to severe intellectual disabilities. FXS is caused by inactivation of the fragile X mental retardation 1 (FMR1) gene, but how FMR1 inactivation induces FXS remains unclear. Using human neurons generated from control and FXS patient-derived induced pluripotent stem (iPS) cells or from embryonic stem cells carrying conditional FMR1 mutations, we show here that loss of FMR1 function specifically abolished homeostatic synaptic plasticity without affecting basal synaptic transmission. We demonstrated that, in human neurons, homeostatic plasticity induced by synaptic silencing was mediated by retinoic acid, which regulated both excitatory and inhibitory synaptic strength. FMR1 inactivation impaired homeostatic plasticity by blocking retinoic acid-mediated regulation of synaptic strength. Repairing the genetic mutation in the FMR1 gene in an FXS patient cell line restored fragile X mental retardation protein (FMRP) expression and fully rescued synaptic retinoic acid signaling. Thus, our study reveals a robust functional impairment caused by FMR1 mutations that might contribute to neuronal dysfunction in FXS. In addition, our results suggest that FXS patient iPS cell-derived neurons might be useful for studying the mechanisms mediating functional abnormalities in FXS.	Alleles;Animals;Base Sequence;Cell Differentiation;Cell Line;Embryonic Stem Cells;Excitatory Postsynaptic Potentials;Fragile X Mental Retardation Protein;Fragile X Syndrome;Homeostasis;Humans;Mice;Mutation;Neuronal Plasticity;Neurons;Signal Transduction;Synapses;Tretinoin;Trinucleotide Repeats;Up-Regulation	Alleles;Animals;Base Sequence;Carrying;Cell Differentiation;Cell Line;Cells;Disease;Embryonic Stem Cells;Excitatory Postsynaptic Potentials;Fragile X Mental Retardation Protein;Fragile X Syndrome;Genes;Genetics;Homeostasis;Humans;Intellectual Disability;Mediating;Mice;Microscopy, Electron, Scanning Transmission;Mutation;Neuronal Plasticity;Neurons;Patients;Regulation;Signal Transduction;Synapses;Synaptic Transmission;Tretinoin;Trinucleotide Repeats;Up-Regulation;X Chromosome		Zhang, Zhenjie;Marro, Samuele G;Zhang, Yingsha;Arendt, Kristin L;Patzke, Christopher;Zhou, Bo;Fair, Tyler;Yang, Nan;Südhof, Thomas C;Wernig, Marius;Chen, Lu	[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Howard Hughes Medical Institute, Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine];[Stanford University, Stanford University School of Medicine]	2.07	37	Science translational medicine	10	452	
U19MH104172	Group 1								10.1016/j.neuron.2018.09.040	30359597	2018	Towards an Understanding of Synapse Formation.	Synapses are intercellular junctions specialized for fast, point-to-point information transfer from a presynaptic neuron to a postsynaptic cell. At a synapse, a presynaptic terminal secretes neurotransmitters via a canonical release machinery, while a postsynaptic specialization senses neurotransmitters via diverse receptors. Synaptic junctions are likely organized by trans-synaptic cell-adhesion molecules (CAMs) that bidirectionally orchestrate synapse formation, restructuring, and elimination. Many candidate synaptic CAMs were described, but which CAMs are central actors and which are bystanders remains unclear. Moreover, multiple genes encoding synaptic CAMs were linked to neuropsychiatric disorders, but the mechanisms involved are unresolved. Here, I propose that engagement of multifarious synaptic CAMs produces parallel trans-synaptic signals that mediate the establishment, organization, and plasticity of synapses, thereby controlling information processing by neural circuits. Among others, this hypothesis implies that synapse formation can be understood in terms of inter- and intracellular signaling, and that neuropsychiatric disorders involve an impairment in such signaling.	Animals;Brain;Cell Adhesion Molecules;Humans;Neurogenesis;Neuronal Plasticity;Signal Transduction;Synapses	Animals;Brain;Cell Adhesion Molecules;Cells;Comprehension;Genes;Humans;Information Processing;Intercellular Junctions;Neurogenesis;Neuronal Plasticity;Neurons;Neurotransmitters;Organizations;Presynaptic Terminals;Signal Transduction;Specialization;Synapses;Synaptic Receptors	BAIs;cell-adhesion molecules;cerebellins;latrophilins;neurexins;neuroligins;synapse;synaptic plasticity;synaptogenesis;teneurins	Südhof, Thomas C	Howard Hughes Medical Institute;Stanford University;Stanford University School of Medicine	12.32	215	Neuron	100	2	276-293
U19MH107367	Group 2	Review							10.3389/fnmol.2018.00261	30147644	2018	Patch-Seq Protocol to Analyze the Electrophysiology, Morphology and Transcriptome of Whole Single Neurons Derived From Human Pluripotent Stem Cells.	The human brain is composed of a complex assembly of about 171 billion heterogeneous cellular units (86 billion neurons and 85 billion non-neuronal glia cells). A comprehensive description of brain cells is necessary to understand the nervous system in health and disease. Recently, advances in genomics have permitted the accurate analysis of the full transcriptome of single cells (scRNA-seq). We have built upon such technical progress to combine scRNA-seq with patch-clamping electrophysiological recording and morphological analysis of single human neurons in vitro. This new powerful method, referred to as Patch-seq, enables a thorough, multimodal profiling of neurons and permits us to expose the links between functional properties, morphology, and gene expression. Here, we present a detailed Patch-seq protocol for isolating single neurons from in vitro neuronal cultures. We have validated the Patch-seq whole-transcriptome profiling method with human neurons generated from embryonic and induced pluripotent stem cells (ESCs/iPSCs) derived from healthy subjects, but the procedure may be applied to any kind of cell type in vitro. Patch-seq may be used on neurons in vitro to profile cell types and states in depth to unravel the human molecular basis of neuronal diversity and investigate the cellular mechanisms underlying brain disorders.		Brain;Brain Diseases;Cells;Clamping;Culture;Disease;Electrophysiology;Gene Expression;Gene Expression Profiling;Genomics;Health;Healthy Volunteers;Humans;In Vitro;Induced Pluripotent Stem Cells;Methods;Nervous System;Neuroglia;Neurons;News;Permits;Pluripotent Stem Cells;Procedures;RNA, Small Cytoplasmic;RNA-Seq;Transcriptome	cellular phenotyping;electrophysiology;human neuron transcriptome;induced pluripotent stem cell (iPSC);neuronal diversity;patch clamping;patch-seq;single-cell RNA-seq	van den Hurk, Mark;Erwin, Jennifer A;Yeo, Gene W;Gage, Fred H;Bardy, Cedric	[South Australian Health and Medical Research Institute];[Johns Hopkins University, Lieber Institute for Brain Development];[National University of Singapore, University of California, San Diego, Yong Loo Lin School of Medicine];[Salk Institute for Biological Studies];[Flinders University, South Australian Health and Medical Research Institute]	1.06	20	Frontiers in molecular neuroscience	11		261
U19MH107367	Group 2	Review							10.1002/dneu.22584	29484850	2018	Genetic variations on SETD5 underlying autistic conditions.	The prevalence of autism spectrum disorders (ASD) and the number of identified ASD-related genes have increased in recent years. The SETD5 gene encodes a SET-containing-domain 5 protein, a likely reader enzyme. Genetic evidences suggest that SETD5 malfunction contributes to ASD phenotype, such as on intellectual disability (ID) and facial dysmorphism. In this review, we mapped the clinical phenotypes of individuals carrying mutations on the SETD5 gene that are associated with ASD and other chromatinopathies (mutation in epigenetic modifiers that leads to the development of neurodevelopmental disorders such as ASD). After a detailed systematic literature review and analysis of public disease-related databank, we found so far 42 individuals carrying mutations on the SETD5 gene, with 23.8% presenting autistic-like features. Furthermore, most of mutations occurred between positions 9,480,000-9,500,000 bp on chromosome 3 (3p25.3) at the SETD5 gene locus. In all males, mutations in SETD5 presented high penetrance, while in females the clinical phenotype seems more variable with two reported cases showing normal female carriers and not presenting ASD or any ID-like symptoms. At the molecular level, SETD5 interacts with proteins of PAF1C and N-CoR complexes, leading to a possible involvement with chromatin modification pathway, which plays important roles for brain development. Together, we propose that mutations on the SETD5 gene could lead to a new syndromic condition in males, which is linked to 3p25 syndrome, and can leads to ASD-related intellectual disability and facial dysmorphism. © 2018 Wiley Periodicals, Inc. Develop Neurobiol 78: 500-518, 2018.	Animals;Autism Spectrum Disorder;Genetic Variation;Humans;Methyltransferases	Animals;Autism Spectrum Disorder;Autistic Disorder;Brain;Carrying;Chromatin;Chromosomes, Human, Pair 3;Classification;Disease;Enzymes;Epigenetics;Female;Genes;Genetic Variation;Genetics;Humans;Id;Intellectual Disability;Lead;Literature;Male;Methyltransferases;Mutation;Neurodevelopmental Disorders;News;Penetrance;Periodical;Phenotype;Play;Prevalence;Proteins;Review;Role;Staphylococcal Protein A;Syndrome	SETD5 gene;SETD5 syndrome;autism spectrum disorder;genetic variants;intellectual disability;syndromic autism	Fernandes, Isabella R;Cruz, Ana C P;Ferrasa, Adriano;Phan, Dylan;Herai, Roberto H;Muotri, Alysson R	[Rady Children's Hospital, University of California, San Diego];[Pontifical Catholic University of Paraná];[Pontifical Catholic University of Paraná, State University of Ponta Grossa];[Rady Children's Hospital, University of California, San Diego];[Pontifical Catholic University of Paraná];[Rady Children's Hospital, University of California, San Diego]	0.91	17	Developmental neurobiology	78	5	500-518
